"id,""matchDate"",""Country"",""League"",""Season"",""homeTeam"",""awayTeam"",""FTHG"",""FTAG"",""FTR"",""1HHG"",""1HAG"",""1HR"",""2HHG"",""2HAG"",""2HR"""
"1595,""18-10-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Alaves"",""Elche"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1596,""18-10-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Valladolid"",""2"",""2"",""D"",""0"",""1"",""A"",""2"",""1"",""H"""
"1594,""18-10-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Betis"",""Real Sociedad"",""0"",""3"",""A"",""0"",""1"",""A"",""0"",""2"",""A"""
"1590,""24-10-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Ath Bilbao"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1591,""24-10-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Sevilla"",""Eibar"",""0"",""1"",""A"",""0"",""1"",""A"",""0"",""0"",""D"""
"1589,""24-10-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Atl. Madrid"",""Betis"",""2"",""0"",""H"",""0"",""0"",""D"",""2"",""0"",""H"""
"1588,""25-10-20 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Valladolid"",""Alaves"",""0"",""2"",""A"",""0"",""0"",""D"",""0"",""2"",""A"""
"1587,""25-10-20 16:00"",""Spain"",""LaLiga"",""2020/2021"",""Cadiz CF"",""Villarreal"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1586,""25-10-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Granada CF"",""0"",""1"",""A"",""0"",""1"",""A"",""0"",""0"",""D"""
"1584,""26-10-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Levante"",""Celta Vigo"",""1"",""1"",""D"",""0"",""0"",""D"",""1"",""1"",""D"""
"1583,""30-10-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Cadiz CF"",""0"",""2"",""A"",""0"",""2"",""A"",""0"",""0"",""D"""
"1581,""31-10-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Ath Bilbao"",""Sevilla"",""2"",""1"",""H"",""0"",""1"",""A"",""2"",""0"",""H"""
"1580,""31-10-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Atl. Madrid"",""1"",""3"",""A"",""0"",""1"",""A"",""1"",""2"",""A"""
"1577,""01-11-20 16:00"",""Spain"",""LaLiga"",""2020/2021"",""Celta Vigo"",""Real Sociedad"",""1"",""4"",""A"",""0"",""2"",""A"",""1"",""2"",""A"""
"1572,""07-11-20 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Eibar"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1570,""07-11-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Sevilla"",""Osasuna"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1565,""08-11-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Levante"",""Alaves"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1563,""20-11-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Huesca"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1561,""21-11-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Villarreal"",""Real Madrid"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1558,""22-11-20 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Getafe"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1557,""22-11-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Cadiz CF"",""Real Sociedad"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1556,""22-11-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Granada CF"",""Valladolid"",""1"",""3"",""A"",""0"",""1"",""A"",""1"",""2"",""A"""
"1553,""27-11-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Valladolid"",""Levante"",""1"",""1"",""D"",""0"",""0"",""D"",""1"",""1"",""D"""
"1551,""28-11-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Valencia"",""Atl. Madrid"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1550,""28-11-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Sevilla"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1549,""28-11-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Real Madrid"",""Alaves"",""1"",""2"",""A"",""0"",""1"",""A"",""1"",""1"",""D"""
"1547,""29-11-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Ath Bilbao"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1544,""30-11-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Betis"",""Eibar"",""0"",""2"",""A"",""0"",""0"",""D"",""0"",""2"",""A"""
"1543,""04-12-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Ath Bilbao"",""Celta Vigo"",""0"",""2"",""A"",""0"",""0"",""D"",""0"",""2"",""A"""
"1541,""05-12-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Sevilla"",""Real Madrid"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1540,""05-12-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Atl. Madrid"",""Valladolid"",""2"",""0"",""H"",""0"",""0"",""D"",""2"",""0"",""H"""
"1537,""06-12-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Betis"",""0"",""2"",""A"",""0"",""0"",""D"",""0"",""2"",""A"""
"1536,""06-12-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Villarreal"",""Elche"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1535,""06-12-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Alaves"",""Real Sociedad"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1534,""07-12-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Eibar"",""Valencia"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1531,""12-12-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Getafe"",""Sevilla"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1530,""12-12-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Huesca"",""Alaves"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1527,""13-12-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Betis"",""Villarreal"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1526,""13-12-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Elche"",""Granada CF"",""0"",""1"",""A"",""0"",""1"",""A"",""0"",""0"",""D"""
"1525,""13-12-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Barcelona"",""Levante"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1521,""18-12-20 21:00"",""Spain"",""LaLiga"",""2020/2021"",""Ath Bilbao"",""Huesca"",""2"",""0"",""H"",""0"",""0"",""D"",""2"",""0"",""H"""
"1518,""19-12-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Villarreal"",""1"",""3"",""A"",""0"",""2"",""A"",""1"",""1"",""D"""
"1513,""20-12-20 18:30"",""Spain"",""LaLiga"",""2020/2021"",""Cadiz CF"",""Getafe"",""0"",""2"",""A"",""0"",""1"",""A"",""0"",""1"",""A"""
"1510,""22-12-20 17:30"",""Spain"",""LaLiga"",""2020/2021"",""Elche"",""Osasuna"",""2"",""2"",""D"",""0"",""1"",""A"",""2"",""1"",""H"""
"1511,""22-12-20 17:30"",""Spain"",""LaLiga"",""2020/2021"",""Valencia"",""Sevilla"",""0"",""1"",""A"",""0"",""0"",""D"",""0"",""1"",""A"""
"1509,""22-12-20 19:45"",""Spain"",""LaLiga"",""2020/2021"",""Real Sociedad"",""Atl. Madrid"",""0"",""2"",""A"",""0"",""0"",""D"",""0"",""2"",""A"""
"1506,""22-12-20 22:00"",""Spain"",""LaLiga"",""2020/2021"",""Valladolid"",""Barcelona"",""0"",""3"",""A"",""0"",""2"",""A"",""0"",""1"",""A"""
"1507,""22-12-20 22:00"",""Spain"",""LaLiga"",""2020/2021"",""Villarreal"",""Ath Bilbao"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1504,""23-12-20 19:45"",""Spain"",""LaLiga"",""2020/2021"",""Real Madrid"",""Granada CF"",""2"",""0"",""H"",""0"",""0"",""D"",""2"",""0"",""H"""
"1503,""23-12-20 22:00"",""Spain"",""LaLiga"",""2020/2021"",""Betis"",""Cadiz CF"",""1"",""0"",""H"",""0"",""0"",""D"",""1"",""0"",""H"""
"1500,""29-12-20 19:15"",""Spain"",""LaLiga"",""2020/2021"",""Barcelona"",""Eibar"",""1"",""1"",""D"",""0"",""0"",""D"",""1"",""1"",""D"""
"1498,""29-12-20 21:30"",""Spain"",""LaLiga"",""2020/2021"",""Cadiz CF"",""Valladolid"",""0"",""0"",""D"",""0"",""0"",""D"",""0"",""0"",""D"""
"1494,""30-12-20 21:30"",""Spain"",""LaLiga"",""2020/2021"",""Elche"",""Real Madrid"",""1"",""1"",""D"",""0"",""1"",""A"",""1"",""0"",""H"""
"1493,""31-12-20 14:00"",""Spain"",""LaLiga"",""2020/2021"",""Ath Bilbao"",""Real Sociedad"",""0"",""1"",""A"",""0"",""1"",""A"",""0"",""0"",""D"""
"1492,""31-12-20 16:15"",""Spain"",""LaLiga"",""2020/2021"",""Osasuna"",""Alaves"",""1"",""1"",""D"",""0"",""0"",""D"",""1"",""1"",""D"""
